goal ,pledged ,backers ,currency ,main_category ,duration 
25000,1395,30,1,7,3452400.0
3000,17,2,1,7,3024000.0
1200,90,4,1,7,3460336.0
7500,3,3,1,7,2592000.0
5000,587,8,1,7,2592000.0
650,0,0,1,7,1728000.0
1200,2,2,1,7,3888000.0
275,642,40,1,7,1209600.0
3000,4386,94,1,7,1209600.0
5000,0,0,1,7,5187600.0
5000,52,4,1,7,3888000.0
3000,3125,55,1,7,5271286.0
1000,1145,21,1,7,1551088.0
30000,1152,9,1,7,2592000.0
550,708,23,1,7,2592000.0
4500,5263,107,1,7,2819696.0
8000,100,1,1,7,3456000.0
2000,0,0,1,7,3027600.0
3000,1189,29,1,7,2592000.0
350,161,2,1,7,1135701.0
4000,4600,76,1,7,2592000.0
4000,0,0,1,7,1296000.0
25000,1250,9,1,7,2592000.0
1100,0,0,1,7,2588400.0
10000,10050,32,1,7,3888000.0
5000,33,4,1,7,2588400.0
500,1745,23,1,7,4795680.0
1000,0,0,1,7,2588400.0
2300,2455,58,1,7,2588400.0
7000,50,1,1,7,2592000.0
2500,660,12,1,7,2592000.0
2600,0,0,1,7,5184000.0
4000,1040,19,1,7,4316400.0
1000,1100,14,1,7,1728000.0
750,810,22,1,7,2160000.0
800,0,0,1,7,1907779.0
444,65,3,1,7,1036800.0
41000,0,0,1,7,2592000.0
750,313,9,1,7,2592000.0
5000,318,10,1,7,2592000.0
2750,2820,62,1,7,3679845.0
117000,125,3,1,7,2592000.0
4500,136,3,1,7,2592000.0
6907,10,2,1,7,2592000.0
520,339,8,1,7,2630809.0
11000,0,0,1,7,2592000.0
100000,50230,257,1,7,2592000.0
15000,18280,249,1,7,2731074.0
2000,2688,30,1,7,2582118.0
600,1026,37,1,7,2592000.0
700,702,11,1,7,728494.0
1400,1671,43,1,7,2592000.0
16000,5846,8,1,7,3456000.0
3500,4540,63,1,7,2678400.0
2000,80,2,1,7,2592000.0
900,6,2,1,7,2592000.0
10000,100,1,1,7,3024000.0
250,305,18,1,7,691200.0
600,20,2,1,7,2592000.0
3000,1870,39,1,7,1770078.0
2000,421,13,1,7,7778577.0
500,3090,84,1,7,2597372.0
1000,1390,51,1,7,2592000.0
1300,1486,4,1,7,1391692.0
999,1653,28,1,7,2600041.0
2100,175,3,1,7,2592000.0
3000,3299,51,1,7,2592000.0
500,0,0,1,7,2592000.0
10000,0,0,1,7,2592000.0
3000,3100,21,1,7,2592000.0
9000,9194,138,1,7,2588400.0
75,75,3,1,7,3755909.0
10000,910,9,1,7,2592000.0
2000,322,7,1,7,2160000.0
3000,3285,57,1,7,2766912.0
1800,596,18,1,7,3456000.0
600,910,14,1,7,2592000.0
100000,0,0,1,7,2592000.0
500,507,7,1,7,2592000.0
100,677,61,1,7,2592000.0
1200,30,1,1,7,2592000.0
700,460,7,1,7,2588400.0
8000,300,2,1,7,3888000.0
20000,6,2,1,7,2592000.0
4500,107,2,1,7,5013069.0
30000,1,1,1,7,5187600.0
500,140,4,1,7,3888000.0
3350,2595,54,1,7,1296000.0
900,40,1,1,7,1376679.0
5000,1996,57,1,7,2592000.0
1500,255,4,1,7,5184000.0
400000,30,3,1,7,2588400.0
10000,40,2,1,7,2592000.0
1000,0,0,1,7,2592000.0
600,1844,65,1,7,5005244.0
5000,2075,21,1,7,2592000.0
7500,2875,54,1,7,4471019.0
3000,36,2,1,7,2592000.0
3000,3500,35,1,7,2592000.0
15000,30,1,1,7,2592000.0
1200,1255,26,1,7,2837966.0
300,505,11,1,7,1292400.0
8000,0,0,1,7,2588400.0
2500,2646,66,1,7,2859659.0
3000,1,1,1,7,2592000.0
1000,1188,16,1,7,2592000.0
10000,0,0,1,7,2592000.0
7500,48,2,1,7,4908161.0
1000,1240,32,1,7,2588400.0
7000,105,2,1,7,2332800.0
30000,4971,18,1,7,2543709.0
200,20,2,1,7,2284724.0
1500,254,5,1,7,2592000.0
650,150,9,1,7,2592000.0
800,1064,25,1,7,5359559.0
72000,50,1,1,7,2595600.0
21000,21441,114,1,7,2962710.0
3500,50,1,1,7,2592000.0
1500,1500,25,1,7,5184000.0
1200,1225,27,1,7,2125018.0
1500,792,17,1,7,2592000.0
5000,0,0,1,7,5184000.0
2700,151,2,1,7,1296000.0
1500,0,0,1,7,2592000.0
5000,5052,98,1,7,2592000.0
2500,1035,25,1,7,5184000.0
9847,12527,120,1,7,3908084.0
1200,1451,45,1,7,2592000.0
7500,352,8,1,7,3052741.0
5000,1,1,1,7,2592000.0
23436,0,0,1,7,1728000.0
1500,1500,16,1,7,3456000.0
1000,1130,34,1,7,3056451.0
2400,2431,22,1,7,2592000.0
25000,3798,64,1,7,2592000.0
10000,3135,88,1,7,2801861.0
2000,2225,37,1,7,5184000.0
2500,62,2,1,7,2587368.0
10000,11513,618,1,7,3737934.0
6000,225,6,1,7,3888000.0
7000,22,3,1,7,2592000.0
4000,0,0,1,7,2592000.0
6500,6687,102,1,7,2624617.0
300,300,11,1,7,514563.0
5000,6815,79,1,7,608723.0
3500,3592,115,1,7,1810800.0
1600,20,1,1,7,2620499.0
100,10,2,1,7,2592000.0
2600,2970,59,1,7,3892926.0
100,445,12,1,7,2592000.0
5000,330,7,1,7,2592000.0
14770,6,2,1,7,2937600.0
50000,5391,52,1,7,2757370.0
5000,0,0,1,7,2968780.0
3000,3801,85,1,7,3888000.0
800,0,0,1,7,2592000.0
4000,0,0,1,7,1818000.0
2000,2075,22,1,7,1296000.0
10000,10601,94,1,7,2441616.0
6000,1487,34,1,7,2592000.0
500,773,20,1,7,2588400.0
1000,1113,11,1,7,2576580.0
10000,13,2,1,7,2592000.0
2000,0,0,1,7,2592000.0
30000,7332,89,1,7,5184000.0
40000,391,9,1,7,2592000.0
5000,5146,46,1,7,2941714.0
250,5,2,1,7,2592000.0
3000,3225,77,1,7,2592000.0
4000,4696,63,1,7,2592000.0
2500,200,2,1,7,2592000.0
1500,1560,16,1,7,604800.0
777,42,3,1,7,1209600.0
5000,5095,66,1,7,1206000.0
3500,3787,45,1,7,2595564.0
10000,10892,55,1,7,1382400.0
850,875,24,1,7,2592000.0
5000,1125,16,1,7,2592000.0
3000,150,2,1,7,345600.0
8000,23317,447,1,7,2592000.0
8000,11371,112,1,7,2250332.0
1000,401,10,1,7,1206768.0
2500,2570,35,1,7,3162372.0
5000,5804,58,1,7,2592000.0
12700,14925,141,1,7,2552387.0
250,1,1,1,7,1209600.0
10000,0,0,1,7,2592000.0
1000,30,2,1,7,2592000.0
8000,0,0,1,7,5184000.0
2500,135,3,1,7,7532720.0
3600,3855,63,1,7,2457434.0
33333,7735,39,1,7,2851200.0
3000,3100,30,1,7,2592000.0
2500,2780,40,1,7,2592000.0
5000,75,3,1,7,2592000.0
1300,10,1,1,7,2592000.0
100,3,2,1,7,5184000.0
1500,200,1,1,7,4050810.0
1500,1520,38,1,7,1728000.0
450,641,41,1,7,2592000.0
16137,1,1,1,7,2851200.0
3500,1,1,1,7,3774733.0
5000,5036,92,1,7,2847190.0
700,774,33,1,7,477376.0
5500,1,1,1,7,2592000.0
3000,2360,19,1,7,2592000.0
5000,23,5,1,7,3888000.0
5000,701,7,1,7,3888000.0
2000,2546,23,1,7,2163600.0
2500,100,1,1,7,1209600.0
4000,4157,88,1,7,2592000.0
2000,2689,59,1,7,3028066.0
6500,6579,39,1,7,2588400.0
8000,21453,223,1,7,2872726.0
60000,18087,204,1,7,3653251.0
80000,0,0,1,7,2592000.0
6500,6852,27,1,7,3024000.0
3000,10,1,1,7,1322151.0
4000,0,0,1,7,3888000.0
3500,892,18,1,7,2592000.0
65000,915,12,1,7,2592000.0
5000,6360,77,1,7,2529465.0
11000,11012,85,1,7,2851200.0
3000,753,25,1,7,3455169.0
10,6,2,1,7,2505600.0
10000,300,2,1,7,3456000.0
10000,10174,28,1,7,5184000.0
10000,0,0,1,7,2588400.0
200,400,10,1,7,2592000.0
1600,1615,39,1,7,2592000.0
5000,5000,20,1,7,938447.0
9350,9492,93,1,7,2592000.0
6200,0,0,1,7,3628800.0
150,0,0,1,7,1860931.0
500,572,11,1,7,1295702.0
10,4,2,1,7,5180400.0
50000,430,11,1,7,2592000.0
41000,3440,31,1,7,3456000.0
11000,650,6,1,7,2524798.0
500,0,0,1,7,2592000.0
15000,551,10,1,7,5184000.0
675,811,8,1,7,2592000.0
20000,30253,147,1,7,4405871.0
3500,62,1,1,7,2916040.0
10000,0,0,1,7,2592000.0
5000,172,5,1,7,2592000.0
900,2049,52,1,7,5270400.0
500,5,1,1,7,2592000.0
20000,425,9,1,7,5184000.0
6500,6665,41,1,7,2588400.0
50,86,5,1,7,2592000.0
300,687,23,1,7,2156400.0
300,1638,39,1,7,1158996.0
8000,3920,20,1,7,2592000.0
250,15,2,1,7,2592000.0
4000,1421,25,1,7,432000.0
50000,100,1,1,7,4602200.0
2000,2413,59,1,7,2678400.0
1500,1716,34,1,7,882165.0
25,864,35,1,7,1814400.0
300,325,9,1,7,2592000.0
20000,10,1,1,7,5168089.0
3000,25,1,1,7,2159750.0
15000,3040,37,1,7,2592000.0
6000,1,1,1,7,5184000.0
2000,151,4,1,7,2506153.0
1300,1410,20,1,7,2332800.0
3000,3065,30,1,7,2700825.0
7000,7000,80,1,7,2284353.0
10000,25,1,1,7,2764216.0
2000,356,8,1,7,4751032.0
900,0,0,1,7,5184000.0
300,381,9,1,7,2595600.0
6000,6604,95,1,7,2592000.0
350,374,17,1,7,2595600.0
2500,440,7,1,7,2592000.0
2000,0,0,1,7,2592000.0
5000,35,2,1,7,5184000.0
545,0,0,1,7,3024000.0
2700,2720,33,1,7,1209600.0
6000,6,2,1,7,2592000.0
2500,165,4,1,7,3896469.0
5,31,3,1,7,2592000.0
800,61,4,1,7,2592000.0
