goal ,pledged ,backers ,currency ,main_category 
25000,1395,30,1,7
3000,17,2,1,7
1200,90,4,1,7
7500,3,3,1,7
5000,587,8,1,7
650,0,0,1,7
1200,2,2,1,7
275,642,40,1,7
3000,4386,94,1,7
5000,0,0,1,7
5000,52,4,1,7
3000,3125,55,1,7
1000,1145,21,1,7
30000,1152,9,1,7
550,708,23,1,7
4500,5263,107,1,7
8000,100,1,1,7
2000,0,0,1,7
3000,1189,29,1,7
350,161,2,1,7
4000,4600,76,1,7
4000,0,0,1,7
25000,1250,9,1,7
1100,0,0,1,7
10000,10050,32,1,7
5000,33,4,1,7
500,1745,23,1,7
1000,0,0,1,7
2300,2455,58,1,7
7000,50,1,1,7
2500,660,12,1,7
2600,0,0,1,7
4000,1040,19,1,7
1000,1100,14,1,7
750,810,22,1,7
800,0,0,1,7
444,65,3,1,7
41000,0,0,1,7
750,313,9,1,7
5000,318,10,1,7
2750,2820,62,1,7
117000,125,3,1,7
4500,136,3,1,7
6907,10,2,1,7
520,339,8,1,7
11000,0,0,1,7
100000,50230,257,1,7
15000,18280,249,1,7
2000,2688,30,1,7
600,1026,37,1,7
700,702,11,1,7
1400,1671,43,1,7
16000,5846,8,1,7
3500,4540,63,1,7
2000,80,2,1,7
900,6,2,1,7
10000,100,1,1,7
250,305,18,1,7
600,20,2,1,7
3000,1870,39,1,7
2000,421,13,1,7
500,3090,84,1,7
1000,1390,51,1,7
1300,1486,4,1,7
999,1653,28,1,7
2100,175,3,1,7
3000,3299,51,1,7
500,0,0,1,7
10000,0,0,1,7
3000,3100,21,1,7
9000,9194,138,1,7
75,75,3,1,7
10000,910,9,1,7
2000,322,7,1,7
3000,3285,57,1,7
1800,596,18,1,7
600,910,14,1,7
100000,0,0,1,7
500,507,7,1,7
100,677,61,1,7
1200,30,1,1,7
700,460,7,1,7
8000,300,2,1,7
20000,6,2,1,7
4500,107,2,1,7
30000,1,1,1,7
500,140,4,1,7
3350,2595,54,1,7
900,40,1,1,7
5000,1996,57,1,7
1500,255,4,1,7
400000,30,3,1,7
10000,40,2,1,7
1000,0,0,1,7
600,1844,65,1,7
5000,2075,21,1,7
7500,2875,54,1,7
3000,36,2,1,7
3000,3500,35,1,7
15000,30,1,1,7
1200,1255,26,1,7
300,505,11,1,7
8000,0,0,1,7
2500,2646,66,1,7
3000,1,1,1,7
1000,1188,16,1,7
10000,0,0,1,7
7500,48,2,1,7
1000,1240,32,1,7
7000,105,2,1,7
30000,4971,18,1,7
200,20,2,1,7
1500,254,5,1,7
650,150,9,1,7
800,1064,25,1,7
72000,50,1,1,7
21000,21441,114,1,7
3500,50,1,1,7
1500,1500,25,1,7
1200,1225,27,1,7
1500,792,17,1,7
5000,0,0,1,7
2700,151,2,1,7
1500,0,0,1,7
5000,5052,98,1,7
2500,1035,25,1,7
9847,12527,120,1,7
1200,1451,45,1,7
7500,352,8,1,7
5000,1,1,1,7
23436,0,0,1,7
1500,1500,16,1,7
1000,1130,34,1,7
2400,2431,22,1,7
25000,3798,64,1,7
10000,3135,88,1,7
2000,2225,37,1,7
2500,62,2,1,7
10000,11513,618,1,7
6000,225,6,1,7
7000,22,3,1,7
4000,0,0,1,7
6500,6687,102,1,7
300,300,11,1,7
5000,6815,79,1,7
3500,3592,115,1,7
1600,20,1,1,7
100,10,2,1,7
2600,2970,59,1,7
100,445,12,1,7
5000,330,7,1,7
14770,6,2,1,7
50000,5391,52,1,7
5000,0,0,1,7
3000,3801,85,1,7
800,0,0,1,7
4000,0,0,1,7
2000,2075,22,1,7
10000,10601,94,1,7
6000,1487,34,1,7
500,773,20,1,7
1000,1113,11,1,7
10000,13,2,1,7
2000,0,0,1,7
30000,7332,89,1,7
40000,391,9,1,7
5000,5146,46,1,7
250,5,2,1,7
