Juridiction,Origine,Année,Qualificatifs de données,Nombre (nul)
Alberta,Indéterminée,2021,e,1342
Alberta,Indéterminée,2020,a,28
Alberta,Foudre,2020,a,89
Alberta,Brûlage dirigé,2020,a,2
Alberta,Activités humaines,2020,a,681
Alberta,Indéterminée,2019,a,33
Alberta,Foudre,2019,a,318
Alberta,Brûlage dirigé,2019,a,2
Alberta,Activités humaines,2019,a,728
Alberta,Indéterminée,2018,a,63
Alberta,Foudre,2018,a,535
Alberta,Brûlage dirigé,2018,a,2
Alberta,Activités humaines,2018,a,782
Alberta,Indéterminée,2017,a,45
Alberta,Foudre,2017,a,448
Alberta,Brûlage dirigé,2017,a,3
Alberta,Activités humaines,2017,a,834
Alberta,Indéterminée,2016,a,63
Alberta,Foudre,2016,a,537
Alberta,Brûlage dirigé,2016,a,7
Alberta,Activités humaines,2016,a,878
Alberta,Indéterminée,2015,a,83
Alberta,Foudre,2015,a,829
Alberta,Brûlage dirigé,2015,a,7
Alberta,Activités humaines,2015,a,1033
Alberta,Indéterminée,2014,a,29
Alberta,Foudre,2014,a,609
Alberta,Brûlage dirigé,2014,a,3
Alberta,Activités humaines,2014,a,865
Alberta,Indéterminée,2013,a,43
Alberta,Foudre,2013,a,337
Alberta,Brûlage dirigé,2013,a,7
Alberta,Activités humaines,2013,a,892
Alberta,Indéterminée,2012,a,42
Alberta,Foudre,2012,a,470
Alberta,Brûlage dirigé,2012,a,1
Alberta,Activités humaines,2012,a,1133
Alberta,Rebrûlage,2011,a,5
Alberta,Indéterminée,2011,a,30
Alberta,Foudre,2011,a,232
Alberta,Brûlage dirigé,2011,a,13
Alberta,Activités humaines,2011,a,928
Alberta,Rebrûlage,2010,a,12
Alberta,Indéterminée,2010,a,37
Alberta,Foudre,2010,a,778
Alberta,Brûlage dirigé,2010,a,3
Alberta,Activités humaines,2010,a,1119
Alberta,Rebrûlage,2009,a,9
Alberta,Indéterminée,2009,a,49
Alberta,Foudre,2009,a,588
Alberta,Brûlage dirigé,2009,a,13
Alberta,Activités humaines,2009,a,1056
Alberta,Rebrûlage,2008,a,9
Alberta,Indéterminée,2008,a,44
Alberta,Foudre,2008,a,826
Alberta,Brûlage dirigé,2008,a,11
Alberta,Activités humaines,2008,a,905
Alberta,Rebrûlage,2007,a,8
Alberta,Indéterminée,2007,a,19
Alberta,Foudre,2007,a,530
Alberta,Activités humaines,2007,a,821
Alberta,Rebrûlage,2006,a,22
Alberta,Indéterminée,2006,a,58
Alberta,Foudre,2006,a,797
Alberta,Brûlage dirigé,2006,a,7
Alberta,Activités humaines,2006,a,1223
Alberta,Rebrûlage,2005,a,3
Alberta,Indéterminée,2005,a,35
Alberta,Foudre,2005,a,471
Alberta,Brûlage dirigé,2005,a,2
Alberta,Activités humaines,2005,a,914
Alberta,Rebrûlage,2004,a,6
Alberta,Indéterminée,2004,a,11
Alberta,Foudre,2004,a,788
Alberta,Brûlage dirigé,2004,a,1
